Unnamed: 0,time,heading
56168,1123.36,259.10146409680806
56169,1123.38,259.1027740174596
56170,1123.4,259.0965727074585
56171,1123.42,259.08520871630924
56172,1123.44,259.08554413249885
56173,1123.46,259.09610001907043
56174,1123.48,259.0865270855457
56175,1123.5,259.08842825828907
56176,1123.52,259.0971880710516
56177,1123.54,259.0931370401162
56178,1123.56,259.10098455082044
56179,1123.58,259.11176774020515
56180,1123.6,259.1076620440404
56181,1123.62,259.1150035853056
56182,1123.64,259.13414715185746
56183,1123.66,259.1219741918565
56184,1123.68,259.1219775211316
56185,1123.7,259.1455465772792
56186,1123.72,259.1400753718236
56187,1123.74,259.13745765516614
56188,1123.76,259.12294951294456
56189,1123.78,259.1255102783423
56190,1123.8,259.1291024542508
56191,1123.82,259.11524919762604
56192,1123.84,259.1249739938821
56193,1123.86,259.1135676729267
56194,1123.88,259.1181753110289
56195,1123.9,259.12311236145905
56196,1123.92,259.12751556265056
56197,1123.94,259.1135707655061
56198,1123.96,259.11470702083176
56199,1123.98,259.1139068028692
56200,1124.0,259.1279565133304
56201,1124.02,259.1276227956933
56202,1124.04,259.1360436404313
56203,1124.06,259.12286807761814
56204,1124.08,259.131569950311
56205,1124.1,259.12692661411967
56206,1124.12,259.1307722260981
56207,1124.14,259.1244888012198
56208,1124.16,259.1154280320427
56209,1124.18,259.11943042324805
56210,1124.2,259.1324851089953
56211,1124.22,259.1254890052144
56212,1124.24,259.13373179884303
56213,1124.26,259.11905847440613
56214,1124.28,259.1297835409951
56215,1124.3,259.1184746320431
56216,1124.32,259.11522991321857
56217,1124.34,259.12642415286405
56218,1124.36,259.1275601314392
56219,1124.38,259.12609362787487
56220,1124.4,259.1327379174617
56221,1124.42,259.13167259277714
56222,1124.44,259.1339512574487
56223,1124.46,259.1316400187227
56224,1124.48,259.1262398290517
56225,1124.5,259.1114720845548
56226,1124.52,259.11463370390067
56227,1124.54,259.10380844070306
56228,1124.56,259.112526756557
56229,1124.58,259.1168084866041
56230,1124.6,259.1136697277218
56231,1124.62,259.1215810715131
56232,1124.64,259.1245144884191
56233,1124.66,259.13187121168176
56234,1124.68,259.1189634931617
56235,1124.7,259.11626033495014
56236,1124.72,259.13082554297347
56237,1124.74,259.1222540793099
56238,1124.76,259.1211199347501
56239,1124.78,259.1332292433928
56240,1124.8,259.1161180202232
56241,1124.82,259.114192224104
56242,1124.84,259.1203904511998
56243,1124.86,259.12242469179364
56244,1124.88,259.1083067315063
56245,1124.9,259.1152240873824
56246,1124.92,259.12731092191376
56247,1124.94,259.1182619202151
56248,1124.96,259.1089901782568
56249,1124.98,259.1266228088812
56250,1125.0,259.1142099977249
56251,1125.02,259.12765509532534
56252,1125.04,259.1154703719111
56253,1125.06,259.1322755049349
56254,1125.08,259.1267029461524
56255,1125.1,259.112759573524
56256,1125.12,259.1231802744485
56257,1125.14,259.1342328918083
56258,1125.16,259.1193375514311
56259,1125.18,259.1308815169369
56260,1125.2,259.13462805739823
56261,1125.22,259.12888148718554
56262,1125.24,259.1349494809826
56263,1125.26,259.1259056675042
56264,1125.28,259.1391355322631
56265,1125.3,259.12895094405064
56266,1125.32,259.1251667100229
56267,1125.34,259.1376736395368
56268,1125.36,259.1277569909663
56269,1125.38,259.12327868775645
56270,1125.4,259.13967031289803
56271,1125.42,259.1364905485987
56272,1125.44,259.1348816875811
56273,1125.46,259.1285591754881
56274,1125.48,259.14645674835646
56275,1125.5,259.1349714832035
56276,1125.52,259.1456367721348
56277,1125.54,259.1612825497856
56278,1125.56,259.1643535646501
56279,1125.58,259.1618681103735
56280,1125.6,259.168082391998
56281,1125.62,259.1607743030226
56282,1125.64,259.1597740902719
56283,1125.66,259.14882210222515
56284,1125.68,259.1700539577617
56285,1125.7,259.1542072508768
56286,1125.72,259.1606703236892
56287,1125.74,259.15830507503125
56288,1125.76,259.15556617601504
56289,1125.78,259.1503216089282
56290,1125.8,259.1542081231244
56291,1125.82,259.22310644176474
56292,1125.84,259.2155759653994
56293,1125.86,259.2121123885201
56294,1125.88,259.2254487879849
56295,1125.9,259.2073874227617
56296,1125.92,259.21408083946983
56297,1125.94,259.2162255653041
56298,1125.96,259.2127386847637
56299,1125.98,259.2026028110487
56300,1126.0,259.20873311418967
